Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
DST,Raiders  (13373070),Raiders ,13373070,DST,2700,OAK@MIN 09/22/2019 01:00PM ET,OAK,3.5
TE,Matt LaCosse (13372906),Matt LaCosse,13372906,TE/FLEX,2700,NYJ@NE 09/22/2019 01:00PM ET,NE,5.3
DST,Cardinals  (13373071),Cardinals ,13373071,DST,2700,CAR@ARI 09/22/2019 04:05PM ET,ARI,4.5
DST,Panthers  (13373072),Panthers ,13373072,DST,2700,CAR@ARI 09/22/2019 04:05PM ET,CAR,5
TE,Cameron Brate (13372908),Cameron Brate,13372908,TE/FLEX,2700,NYG@TB 09/22/2019 04:05PM ET,TB,2.9
TE,Jordan Akins (13372904),Jordan Akins,13372904,TE/FLEX,2700,HOU@LAC 09/22/2019 04:25PM ET,HOU,3.6
TE,Ricky Seals-Jones (13372912),Ricky Seals-Jones,13372912,TE/FLEX,2700,LAR@CLE 09/22/2019 08:20PM ET,CLE,0
TE,Ben Braunecker (13372914),Ben Braunecker,13372914,TE/FLEX,2700,CHI@WAS 09/23/2019 08:15PM ET,CHI,2.2
TE,Jonnu Smith (13372916),Jonnu Smith,13372916,TE/FLEX,2600,TEN@JAX 09/19/2019 08:20PM ET,TEN,1.35
TE,Josh Oliver (13372918),Josh Oliver,13372918,TE/FLEX,2600,TEN@JAX 09/19/2019 08:20PM ET,JAX,0
TE,Durham Smythe (13372920),Durham Smythe,13372920,TE/FLEX,2600,MIA@DAL 09/22/2019 01:00PM ET,MIA,1.7
TE,Mike Gesicki (13372928),Mike Gesicki,13372928,TE/FLEX,2600,MIA@DAL 09/22/2019 01:00PM ET,MIA,3.6
DST,Broncos  (13373073),Broncos ,13373073,DST,2600,DEN@GB 09/22/2019 01:00PM ET,DEN,0.5
TE,Irv Smith Jr. (13372930),Irv Smith Jr.,13372930,TE/FLEX,2600,OAK@MIN 09/22/2019 01:00PM ET,MIN,0.45
TE,Lance Kendricks (13372932),Lance Kendricks,13372932,TE/FLEX,2600,NYJ@NE 09/22/2019 01:00PM ET,NE,0
TE,Jesse James (13372924),Jesse James,13372924,TE/FLEX,2600,DET@PHI 09/22/2019 01:00PM ET,DET,3.65
TE,Charles Clay (13372934),Charles Clay,13372934,TE/FLEX,2600,CAR@ARI 09/22/2019 04:05PM ET,ARI,1.55
TE,Ian Thomas (13372938),Ian Thomas,13372938,TE/FLEX,2600,CAR@ARI 09/22/2019 04:05PM ET,CAR,0
TE,Rhett Ellison (13372922),Rhett Ellison,13372922,TE/FLEX,2600,NYG@TB 09/22/2019 04:05PM ET,NYG,1.8
TE,Virgil Green (13372936),Virgil Green,13372936,TE/FLEX,2600,HOU@LAC 09/22/2019 04:25PM ET,LAC,1.65
TE,Nick Vannett (13372926),Nick Vannett,13372926,TE/FLEX,2600,NO@SEA 09/22/2019 04:25PM ET,SEA,2.95
DST,Redskins  (13373078),Redskins ,13373078,DST,2600,CHI@WAS 09/23/2019 08:15PM ET,WAS,1
TE,MyCole Pruitt (13372940),MyCole Pruitt,13372940,TE/FLEX,2500,TEN@JAX 09/19/2019 08:20PM ET,TEN,0
TE,Anthony Firkser (13372942),Anthony Firkser,13372942,TE/FLEX,2500,TEN@JAX 09/19/2019 08:20PM ET,TEN,0
TE,Beau Brinkley (13372944),Beau Brinkley,13372944,TE/FLEX,2500,TEN@JAX 09/19/2019 08:20PM ET,TEN,0
TE,Seth DeValve (13372946),Seth DeValve,13372946,TE/FLEX,2500,TEN@JAX 09/19/2019 08:20PM ET,JAX,0
TE,Matt Orzech (13372948),Matt Orzech,13372948,TE/FLEX,2500,TEN@JAX 09/19/2019 08:20PM ET,JAX,0
TE,Dawson Knox (13372954),Dawson Knox,13372954,TE/FLEX,2500,CIN@BUF 09/22/2019 01:00PM ET,BUF,1.95
TE,Lee Smith (13372956),Lee Smith,13372956,TE/FLEX,2500,CIN@BUF 09/22/2019 01:00PM ET,BUF,0.9
TE,Drew Sample (13372964),Drew Sample,13372964,TE/FLEX,2500,CIN@BUF 09/22/2019 01:00PM ET,CIN,2.25
TE,Cethan Carter (13372966),Cethan Carter,13372966,TE/FLEX,2500,CIN@BUF 09/22/2019 01:00PM ET,CIN,0
TE,Clark Harris (13372968),Clark Harris,13372968,TE/FLEX,2500,CIN@BUF 09/22/2019 01:00PM ET,CIN,0
TE,Tommy Sweeney (13373032),Tommy Sweeney,13373032,TE/FLEX,2500,CIN@BUF 09/22/2019 01:00PM ET,BUF,2.75
TE,Dalton Schultz (13372970),Dalton Schultz,13372970,TE/FLEX,2500,MIA@DAL 09/22/2019 01:00PM ET,DAL,0
TE,Nick O'Leary (13372996),Nick O'Leary,13372996,TE/FLEX,2500,MIA@DAL 09/22/2019 01:00PM ET,MIA,0.8
TE,Troy Fumagalli (13372972),Troy Fumagalli,13372972,TE/FLEX,2500,DEN@GB 09/22/2019 01:00PM ET,DEN,0.85
TE,Andrew Beck (13372974),Andrew Beck,13372974,TE/FLEX,2500,DEN@GB 09/22/2019 01:00PM ET,DEN,0
TE,Marcedes Lewis (13372978),Marcedes Lewis,13372978,TE/FLEX,2500,DEN@GB 09/22/2019 01:00PM ET,GB,1.7
TE,Robert Tonyan (13372980),Robert Tonyan,13372980,TE/FLEX,2500,DEN@GB 09/22/2019 01:00PM ET,GB,1.9
TE,Luke Stocker (13372950),Luke Stocker,13372950,TE/FLEX,2500,ATL@IND 09/22/2019 01:00PM ET,ATL,0.7
TE,Jaeden Graham (13372952),Jaeden Graham,13372952,TE/FLEX,2500,ATL@IND 09/22/2019 01:00PM ET,ATL,0
TE,Mo Alie-Cox (13372982),Mo Alie-Cox,13372982,TE/FLEX,2500,ATL@IND 09/22/2019 01:00PM ET,IND,0.65
TE,Hale Hentges (13372984),Hale Hentges,13372984,TE/FLEX,2500,ATL@IND 09/22/2019 01:00PM ET,IND,0
TE,Blake Bell (13372986),Blake Bell,13372986,TE/FLEX,2500,BAL@KC 09/22/2019 01:00PM ET,KC,0.85
TE,Deon Yelder (13372988),Deon Yelder,13372988,TE/FLEX,2500,BAL@KC 09/22/2019 01:00PM ET,KC,0
TE,James Winchester (13372990),James Winchester,13372990,TE/FLEX,2500,BAL@KC 09/22/2019 01:00PM ET,KC,0
DST,Chiefs  (13373074),Chiefs ,13373074,DST,2500,BAL@KC 09/22/2019 01:00PM ET,KC,8
DST,Ravens  (13373076),Ravens ,13373076,DST,2500,BAL@KC 09/22/2019 01:00PM ET,BAL,8.5
TE,Foster Moreau (13372992),Foster Moreau,13372992,TE/FLEX,2500,OAK@MIN 09/22/2019 01:00PM ET,OAK,2
TE,Derek Carrier (13372994),Derek Carrier,13372994,TE/FLEX,2500,OAK@MIN 09/22/2019 01:00PM ET,OAK,3.15
TE,Tyler Conklin (13372998),Tyler Conklin,13372998,TE/FLEX,2500,OAK@MIN 09/22/2019 01:00PM ET,MIN,0
TE,Ryan Izzo (13373000),Ryan Izzo,13373000,TE/FLEX,2500,NYJ@NE 09/22/2019 01:00PM ET,NE,0.65
TE,Daniel Brown (13373008),Daniel Brown,13373008,TE/FLEX,2500,NYJ@NE 09/22/2019 01:00PM ET,NYJ,0
TE,Trevon Wesco (13373010),Trevon Wesco,13373010,TE/FLEX,2500,NYJ@NE 09/22/2019 01:00PM ET,NYJ,0
TE,Ryan Griffin (13373034),Ryan Griffin,13373034,TE/FLEX,2500,NYJ@NE 09/22/2019 01:00PM ET,NYJ,2
TE,Logan Thomas (13372976),Logan Thomas,13372976,TE/FLEX,2500,DET@PHI 09/22/2019 01:00PM ET,DET,0.85
TE,Maxx Williams (13373012),Maxx Williams,13373012,TE/FLEX,2500,CAR@ARI 09/22/2019 04:05PM ET,ARI,2.8
TE,Chris Manhertz (13373030),Chris Manhertz,13373030,TE/FLEX,2500,CAR@ARI 09/22/2019 04:05PM ET,CAR,0
TE,Garrett Dickerson (13373004),Garrett Dickerson,13373004,TE/FLEX,2500,NYG@TB 09/22/2019 04:05PM ET,NYG,0
TE,Eric Tomlinson (13373006),Eric Tomlinson,13373006,TE/FLEX,2500,NYG@TB 09/22/2019 04:05PM ET,NYG,0
TE,Antony Auclair (13373026),Antony Auclair,13373026,TE/FLEX,2500,NYG@TB 09/22/2019 04:05PM ET,TB,0
TE,Tanner Hudson (13373028),Tanner Hudson,13373028,TE/FLEX,2500,NYG@TB 09/22/2019 04:05PM ET,TB,0
TE,Darren Fells (13372958),Darren Fells,13372958,TE/FLEX,2500,HOU@LAC 09/22/2019 04:25PM ET,HOU,0.95
TE,Jerell Adams (13372960),Jerell Adams,13372960,TE/FLEX,2500,HOU@LAC 09/22/2019 04:25PM ET,HOU,0
TE,Logan Paulsen (13372962),Logan Paulsen,13372962,TE/FLEX,2500,HOU@LAC 09/22/2019 04:25PM ET,HOU,0
TE,Sean Culkin (13373018),Sean Culkin,13373018,TE/FLEX,2500,HOU@LAC 09/22/2019 04:25PM ET,LAC,0
DST,Chargers  (13373075),Chargers ,13373075,DST,2500,HOU@LAC 09/22/2019 04:25PM ET,LAC,5
TE,Josh Hill (13373002),Josh Hill,13373002,TE/FLEX,2500,NO@SEA 09/22/2019 04:25PM ET,NO,0.4
TE,Tyler Ott (13373024),Tyler Ott,13373024,TE/FLEX,2500,NO@SEA 09/22/2019 04:25PM ET,SEA,0
TE,Xavier Grimble (13373014),Xavier Grimble,13373014,TE/FLEX,2500,PIT@SF 09/22/2019 04:25PM ET,PIT,0
TE,Zach Gentry (13373016),Zach Gentry,13373016,TE/FLEX,2500,PIT@SF 09/22/2019 04:25PM ET,PIT,0
TE,Ross Dwelley (13373020),Ross Dwelley,13373020,TE/FLEX,2500,PIT@SF 09/22/2019 04:25PM ET,SF,0
TE,Levine Toilolo (13373022),Levine Toilolo,13373022,TE/FLEX,2500,PIT@SF 09/22/2019 04:25PM ET,SF,0
TE,Pharaoh Brown (13373044),Pharaoh Brown,13373044,TE/FLEX,2500,LAR@CLE 09/22/2019 08:20PM ET,CLE,0
TE,Rico Gathers (13373046),Rico Gathers,13373046,TE/FLEX,2500,LAR@CLE 09/22/2019 08:20PM ET,CLE,0
TE,Demetrius Harris (13373048),Demetrius Harris,13373048,TE/FLEX,2500,LAR@CLE 09/22/2019 08:20PM ET,CLE,0.7
TE,Johnny Mundt (13373050),Johnny Mundt,13373050,TE/FLEX,2500,LAR@CLE 09/22/2019 08:20PM ET,LAR,0
TE,Jeremy Sprinkle (13373036),Jeremy Sprinkle,13373036,TE/FLEX,2500,CHI@WAS 09/23/2019 08:15PM ET,WAS,1.95
TE,Bradley Sowell (13373038),Bradley Sowell,13373038,TE/FLEX,2500,CHI@WAS 09/23/2019 08:15PM ET,CHI,0
TE,J.P. Holtz (13373040),J.P. Holtz,13373040,TE/FLEX,2500,CHI@WAS 09/23/2019 08:15PM ET,CHI,0
TE,Patrick Scales (13373042),Patrick Scales,13373042,TE/FLEX,2500,CHI@WAS 09/23/2019 08:15PM ET,CHI,0
DST,Bengals  (13373077),Bengals ,13373077,DST,2400,CIN@BUF 09/22/2019 01:00PM ET,CIN,2
DST,Steelers  (13373079),Steelers ,13373079,DST,2300,PIT@SF 09/22/2019 04:25PM ET,PIT,3.5
DST,Lions  (13373080),Lions ,13373080,DST,2200,DET@PHI 09/22/2019 01:00PM ET,DET,8
DST,Saints  (13373081),Saints ,13373081,DST,2200,NO@SEA 09/22/2019 04:25PM ET,NO,6
DST,Jets  (13373082),Jets ,13373082,DST,2100,NYJ@NE 09/22/2019 01:00PM ET,NYJ,11.5
DST,Dolphins  (13373083),Dolphins ,13373083,DST,2000,MIA@DAL 09/22/2019 01:00PM ET,MIA,0
